PM2.5,PM10,CO,O3,NO2,SO2,NO,NOx,AQI_Bucket,City
45.49,95.68,4.26,71.85,13.73,12.85,4.26,17.1,Moderate,Ahmedabad
60.86,95.68,5.27,41.19,16.61,14.91,5.27,21.42,Moderate,Ahmedabad
51.93,95.68,13.71,12.88,17.87,15.33,13.71,31.64,Poor,Ahmedabad
77.87,95.68,6.67,16.67,17.12,46.82,6.67,23.0,Very Poor,Ahmedabad
57.59,95.68,5.6,25.51,15.47,41.68,5.6,20.42,Moderate,Ahmedabad
77.22,95.68,7.02,9.56,15.47,71.97,7.02,21.13,Moderate,Ahmedabad
45.29,95.68,7.25,6.32,12.74,18.64,7.25,19.66,Moderate,Ahmedabad
103.78,95.68,6.36,15.27,13.9,7.76,6.36,19.86,Poor,Ahmedabad
25.14,95.68,6.01,38.52,18.73,38.05,6.01,24.74,Moderate,Ahmedabad
87.03,95.68,8.05,48.22,17.88,23.84,8.05,25.53,Very Poor,Ahmedabad
89.6,95.68,6.59,44.78,19.84,48.05,6.59,25.9,Poor,Ahmedabad
80.69,95.68,6.86,32.65,16.07,39.85,6.86,22.25,Moderate,Ahmedabad
44.75,95.68,7.76,8.07,16.53,9.89,7.76,24.29,Moderate,Ahmedabad
38.11,95.68,7.41,6.69,11.62,3.13,7.41,19.03,Moderate,Ahmedabad
45.5,95.68,8.56,3.82,15.59,0.76,8.56,24.15,Poor,Ahmedabad
36.98,95.68,8.21,5.17,11.52,0.52,8.21,19.74,Poor,Ahmedabad
43.58,95.68,8.26,7.56,13.33,1.02,8.26,21.58,Poor,Ahmedabad
45.49,95.68,9.63,2.94,14.91,0.81,9.63,24.53,Poor,Ahmedabad
38.06,95.68,8.67,4.63,18.57,1.05,8.67,27.25,Poor,Ahmedabad
45.41,95.68,9.35,4.5,20.55,0.74,9.35,29.9,Poor,Ahmedabad
37.71,95.68,8.54,4.6,16.26,0.87,8.54,24.8,Moderate,Ahmedabad
32.37,95.68,7.53,12.17,14.36,2.17,7.53,21.89,Moderate,Ahmedabad
34.74,95.68,7.59,12.22,13.51,4.11,7.59,21.11,Moderate,Ahmedabad
32.56,95.68,7.34,11.85,13.91,4.04,7.34,21.25,Moderate,Ahmedabad
29.28,95.68,7.55,12.64,11.68,4.01,7.55,19.23,Moderate,Ahmedabad
20.46,95.68,7.15,12.7,10.61,5.62,7.15,17.76,Moderate,Ahmedabad
26.07,95.68,7.99,10.57,11.07,4.1,7.99,19.06,Moderate,Ahmedabad
21.43,95.68,7.45,7.38,11.16,4.99,7.45,18.62,Moderate,Ahmedabad
11.91,95.68,7.34,5.47,10.1,10.86,7.34,17.44,Moderate,Ahmedabad
57.75,95.68,8.68,3.06,9.68,12.28,8.68,18.36,Moderate,Ahmedabad
66.39,95.68,8.58,4.96,12.79,11.09,8.58,21.36,Poor,Ahmedabad
62.61,95.68,9.15,6.44,9.83,12.31,9.15,18.98,Poor,Ahmedabad
47.5,95.68,8.07,7.28,9.53,13.91,8.07,17.59,Moderate,Ahmedabad
